名称,基准,类型,保存值
点138,NA,Point,"5574.011,72.417,0.357,0.024,0.996,-0.090"
点139,NA,Point,"5621.435,73.439,24.323,0.024,0.996,-0.089"
点140,NA,Point,"5628.104,69.025,-22.874,0.024,0.996,-0.090"
点141,NA,Point,"5734.606,70.671,23.697,0.024,0.996,-0.088"
点142,NA,Point,"5739.354,66.432,-22.293,0.024,0.996,-0.090"
点143,NA,Point,"5789.628,66.995,-2.727,0.024,0.996,-0.090"
点144,NA,Point,"5833.570,68.256,23.216,0.024,0.996,-0.088"
点145,NA,Point,"5839.703,64.135,-21.327,0.024,0.996,-0.089"
点146,NA,Point,"5940.166,65.617,22.280,0.024,0.996,-0.087"
点147,NA,Point,"5947.767,61.769,-19.057,0.024,0.996,-0.088"
点148,NA,Point,"6004.479,62.325,2.413,0.024,0.996,-0.089"
点149,NA,Point,"6051.712,62.978,22.703,0.024,0.996,-0.087"
点150,NA,Point,"6054.881,58.983,-21.758,0.024,0.996,-0.088"
点151,NA,Point,"6157.519,60.276,20.802,0.024,0.996,-0.087"
点152,NA,Point,"6163.778,56.640,-18.998,0.024,0.996,-0.087"
点153,NA,Point,"6226.378,56.698,-1.331,0.024,0.996,-0.087"
点154,NA,Point,"6279.410,57.313,20.361,0.024,0.996,-0.086"
点155,NA,Point,"6282.432,53.808,-19.157,0.024,0.996,-0.086"
点156,NA,Point,"6395.500,54.471,19.702,0.024,0.996,-0.085"
点157,NA,Point,"6406.195,50.997,-17.647,0.024,0.996,-0.086"
点158,NA,Point,"6452.071,51.517,1.050,0.024,0.996,-0.086"
点159,NA,Point,"6512.844,51.709,20.334,0.024,0.996,-0.084"
点160,NA,Point,"6521.726,47.900,-21.759,0.024,0.996,-0.085"
点161,NA,Point,"6629.541,48.965,21.019,0.024,0.996,-0.083"
点162,NA,Point,"6633.747,45.334,-20.680,0.024,0.996,-0.085"
点163,NA,Point,"6720.404,46.550,18.242,0.024,0.996,-0.083"
点164,NA,Point,"6695.842,44.299,-15.471,0.024,0.996,-0.084"
点165,NA,Point,"6715.305,-67.410,21.647,0.006,-0.997,-0.079"
点166,NA,Point,"6693.108,-64.002,-19.513,0.006,-0.996,-0.093"
点167,NA,Point,"6647.841,-66.176,1.849,0.006,-0.996,-0.085"
点168,NA,Point,"6579.195,-64.809,-18.220,0.006,-0.996,-0.091"
点169,NA,Point,"6585.693,-68.200,22.201,0.006,-0.997,-0.078"
点170,NA,Point,"6455.711,-65.576,-17.951,0.006,-0.996,-0.090"
点171,NA,Point,"6461.620,-68.927,22.348,0.006,-0.997,-0.077"
点172,NA,Point,"6411.142,-67.649,2.807,0.006,-0.997,-0.083"
点173,NA,Point,"6312.702,-66.143,-21.203,0.006,-0.996,-0.090"
点174,NA,Point,"6313.138,-69.836,23.010,0.006,-0.997,-0.076"
点175,NA,Point,"6188.690,-68.900,2.131,0.006,-0.997,-0.082"
点176,NA,Point,"6146.638,-67.174,-20.868,0.006,-0.996,-0.089"
点177,NA,Point,"6146.379,-70.867,23.897,0.006,-0.997,-0.076"
点178,NA,Point,"5969.081,-68.583,-16.980,0.006,-0.996,-0.087"
点179,NA,Point,"5970.536,-71.935,24.559,0.006,-0.997,-0.075"
点180,NA,Point,"5910.700,-70.579,2.678,0.006,-0.997,-0.080"
点181,NA,Point,"5804.250,-69.253,-20.629,0.006,-0.996,-0.087"
点182,NA,Point,"5806.294,-72.622,21.015,0.006,-0.997,-0.075"
点183,NA,Point,"5651.624,-70.164,-20.694,0.006,-0.996,-0.086"
点184,NA,Point,"5643.571,-73.740,23.324,0.006,-0.997,-0.074"
点185,NA,Point,"5580.290,-72.321,0.136,0.006,-0.997,-0.080"
点186,NA,Point,"5512.545,-70.901,-21.825,0.006,-0.996,-0.085"
点187,NA,Point,"5515.250,-74.493,23.411,0.006,-0.997,-0.074"
点188,NA,Point,"5389.656,-71.670,-21.452,0.006,-0.996,-0.085"
点189,NA,Point,"5390.690,-75.172,22.775,0.006,-0.997,-0.073"
点190,NA,Point,"5325.836,-73.646,-2.091,0.006,-0.997,-0.079"
点191,NA,Point,"5242.088,-72.532,-19.486,0.006,-0.997,-0.083"
点192,NA,Point,"5246.944,-75.819,22.748,0.006,-0.997,-0.073"
点193,NA,Point,"5122.032,-73.154,-20.636,0.006,-0.996,-0.084"
