时间点,PTC23,PTC24
245,171.26578,171.46587
246,171.06569,171.16573
247,170.8656,171.06569
248,170.76555,170.8656
249,170.56546,170.76555
250,170.36539,170.56546
251,170.1653,170.26534
252,169.96521,170.1653
253,169.86516,169.96521
254,169.66507,169.86516
255,169.465,169.66507
256,169.36494,169.46498
257,169.16486,169.26491
258,168.36452,168.56459
259,166.2636,166.56372
260,163.76251,164.16269
261,161.06134,161.56155
262,158.16008,158.56024
263,155.05873,155.4589
264,151.95738,152.35754
265,148.75598,149.2562
266,145.5546,145.95477
267,142.45325,142.85342
268,139.25185,139.65202
269,136.05046,136.45064
270,133.04915,133.44933
271,130.04785,130.44803
272,127.14659,127.54676
273,124.34537,124.745544
274,121.54415,121.94433
275,118.84298,119.143105
276,116.241844,116.54198
277,113.74076,114.14093
278,111.339714,111.73989
279,109.03871,109.338844
280,106.73772,107.03784
281,104.53676,104.83689
282,102.435844,102.73598
283,100.434975,100.73511
284,98.434105,98.73424
285,96.63332,96.833405
286,94.7325,95.03262
287,92.93171,93.1318
288,91.23097,91.531105
289,89.63028,89.83036
290,88.02958,88.22967
291,86.52893,86.72901
292,85.028275,85.32841
293,83.527626,83.72771
294,82.127014,82.3271
295,80.82645,81.026535
296,79.52588,79.72597
297,78.22532,78.4254
298,77.024796,77.224884
299,75.72423,75.82427
300,74.523705,74.72379
301,73.423225,73.623314
302,72.322754,72.522835
303,71.32232,71.5224
304,70.22184,70.42192
305,69.221405,69.421486
306,68.321014,68.42105
307,67.32058,67.52066
308,66.42018,66.62027
309,65.619835,65.81992
310,64.719444,64.91953
311,63.919098,64.01914
312,63.118748,63.318836
313,62.3184,62.518486
314,61.618095,61.818184
315,60.917793,61.017834
316,60.117443,60.217487
317,59.317097,59.51718
318,58.516747,58.716835
319,57.816444,58.01653
320,57.216183,57.416267
321,56.61592,56.816006
322,56.01566,56.215748
323,55.51544,55.71553
324,55.11527,55.215313
325,54.715096,54.815136
326,54.314922,54.414963
327,53.914745,54.114834
