PTC11,PTC24,timestamp
181.94077,180.36974,1667488221
181.94077,180.26968,1667488281
181.84067,180.26968,1667488341
181.84067,180.26968,1667488401
181.94077,180.26968,1667488461
181.94077,180.26968,1667488521
181.94077,180.26968,1667488581
181.94077,180.26968,1667488641
181.84067,180.26968,1667488701
181.84067,180.26968,1667488761
181.84067,180.26968,1667488821
181.84067,180.26968,1667488881
181.84067,180.26968,1667488941
181.84067,180.26968,1667489001
181.84067,180.16965,1667489061
181.74059,180.26968,1667489121
181.74059,180.26968,1667489181
181.74059,180.26968,1667489241
181.74059,180.26968,1667489301
181.84067,180.26968,1667489361
181.74059,180.16965,1667489421
181.74059,180.16965,1667489481
181.74059,180.26968,1667489541
181.74059,180.26968,1667489601
181.74059,180.26968,1667489661
181.74059,180.26968,1667489721
181.74059,180.16965,1667489781
181.6405,180.16965,1667489841
181.74059,180.16965,1667489901
181.6405,180.16965,1667489961
181.6405,180.16965,1667490021
181.74059,180.16965,1667490081
181.6405,180.16965,1667490141
181.6405,180.0696,1667490201
181.6405,180.16965,1667490261
181.74059,180.16965,1667490321
181.74059,180.16965,1667490381
181.74059,180.16965,1667490441
181.74059,180.16965,1667490501
181.74059,180.16965,1667490561
181.74059,180.16965,1667490621
181.74059,180.16965,1667490681
181.74059,180.16965,1667490741
181.74059,180.16965,1667490801
181.6405,180.16965,1667490861
181.6405,180.0696,1667490921
181.6405,180.16965,1667490981
181.6405,180.16965,1667491041
181.6405,180.16965,1667491101
181.6405,180.16965,1667491161
181.6405,180.16965,1667491221
181.6405,180.0696,1667491281
181.5404,180.0696,1667491341
181.5404,180.0696,1667491401
181.6405,180.0696,1667491461
181.6405,180.0696,1667491521
181.6405,180.0696,1667491581
181.5404,180.0696,1667491641
181.5404,180.0696,1667491701
181.6405,180.0696,1667491761
181.6405,180.0696,1667491821
181.6405,180.16965,1667491881
181.6405,180.0696,1667491941
181.5404,179.96956,1667492001
181.5404,180.0696,1667492061
181.5404,180.0696,1667492121
181.6405,180.0696,1667492181
181.6405,180.0696,1667492241
181.6405,180.0696,1667492301
181.5404,180.0696,1667492361
181.5404,180.0696,1667492421
181.5404,180.0696,1667492481
181.6405,180.0696,1667492541
181.6405,180.0696,1667492601
181.5404,180.0696,1667492661
181.5404,180.0696,1667492721
181.44032,180.0696,1667492781
181.14006,179.8695,1667492841
181.03998,179.76947,1667492901
180.8398,179.56938,1667492961
180.63963,179.46935,1667493021
180.33937,179.26926,1667493081
180.13919,179.06917,1667493141
179.93903,178.96912,1667493201
179.63876,178.76903,1667493261
179.43858,178.56895,1667493321
179.2384,178.36887,1667493381
178.93816,178.16878,1667493441
178.73798,177.96869,1667493501
